Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01701","Beans, dry","1984","1984","kg/ha","612.2","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01701","Beans, dry","1985","1985","kg/ha","612.2","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01701","Beans, dry","1986","1986","kg/ha","615.4","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01701","Beans, dry","1987","1987","kg/ha","636.4","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01701","Beans, dry","1988","1988","kg/ha","655.2","E","Estimated value",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01701","Beans, dry","1989","1989","kg/ha","631.5","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01701","Beans, dry","1990","1990","kg/ha","838.2","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01701","Beans, dry","1991","1991","kg/ha","665.1","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01701","Beans, dry","1992","1992","kg/ha","764.1","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01701","Beans, dry","1993","1993","kg/ha","650.8","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01701","Beans, dry","1994","1994","kg/ha","431.9","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01701","Beans, dry","1995","1995","kg/ha","521.7","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01701","Beans, dry","1996","1996","kg/ha","313.6","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01701","Beans, dry","1997","1997","kg/ha","312.7","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01701","Beans, dry","1998","1998","kg/ha","384.5","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01701","Beans, dry","1999","1999","kg/ha","474.2","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01701","Beans, dry","2000","2000","kg/ha","430","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01701","Beans, dry","2001","2001","kg/ha","380.8","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01701","Beans, dry","2002","2002","kg/ha","517.7","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01701","Beans, dry","2003","2003","kg/ha","478","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01701","Beans, dry","2004","2004","kg/ha","352.6","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01701","Beans, dry","2005","2005","kg/ha","369.6","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01701","Beans, dry","2006","2006","kg/ha","534.3","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01701","Beans, dry","2007","2007","kg/ha","507.9","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01701","Beans, dry","2008","2008","kg/ha","412.8","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01701","Beans, dry","2009","2009","kg/ha","484.4","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01701","Beans, dry","2010","2010","kg/ha","566.6","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01701","Beans, dry","2011","2011","kg/ha","557.2","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01701","Beans, dry","2012","2012","kg/ha","589.7","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01701","Beans, dry","2013","2013","kg/ha","659.4","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01701","Beans, dry","2014","2014","kg/ha","585.3","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01701","Beans, dry","2015","2015","kg/ha","615","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01701","Beans, dry","2016","2016","kg/ha","621.5","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01701","Beans, dry","2017","2017","kg/ha","821","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01701","Beans, dry","2018","2018","kg/ha","711","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01701","Beans, dry","2019","2019","kg/ha","628.4","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01701","Beans, dry","2020","2020","kg/ha","674.7","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01701","Beans, dry","2021","2021","kg/ha","591.1","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01701","Beans, dry","2022","2022","kg/ha","591.3","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01701","Beans, dry","2023","2023","kg/ha","705.7","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01701","Beans, dry","2024","2024","kg/ha","734.9","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","1984","1984","kg/ha","790.3","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","1985","1985","kg/ha","615.8","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","1986","1986","kg/ha","728.9","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","1987","1987","kg/ha","677.5","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","1988","1988","kg/ha","823.4","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","1989","1989","kg/ha","763.6","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","1990","1990","kg/ha","678.6","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","1991","1991","kg/ha","556","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","1992","1992","kg/ha","554.6","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","1993","1993","kg/ha","474.7","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","1994","1994","kg/ha","503.5","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","1995","1995","kg/ha","594.4","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","1996","1996","kg/ha","552.3","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","1997","1997","kg/ha","388","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","1998","1998","kg/ha","300.9","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","1999","1999","kg/ha","400.6","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","2000","2000","kg/ha","592.4","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","2001","2001","kg/ha","304.1","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","2002","2002","kg/ha","305.3","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","2003","2003","kg/ha","326.1","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","2004","2004","kg/ha","284.9","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","2005","2005","kg/ha","265.9","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","2006","2006","kg/ha","284.1","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","2007","2007","kg/ha","327.4","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","2008","2008","kg/ha","271","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","2009","2009","kg/ha","337.5","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","2010","2010","kg/ha","262.5","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","2011","2011","kg/ha","314","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","2012","2012","kg/ha","446.3","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","2013","2013","kg/ha","362.5","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","2014","2014","kg/ha","450","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","2015","2015","kg/ha","370","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","2016","2016","kg/ha","404.4","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","2017","2017","kg/ha","336.7","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","2018","2018","kg/ha","358","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","2019","2019","kg/ha","372.1","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","2020","2020","kg/ha","308.3","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","2021","2021","kg/ha","318.9","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","2022","2022","kg/ha","474.4","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","2023","2023","kg/ha","435.2","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","01610","Coffee, green","2024","2024","kg/ha","435.7","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","1984","1984","kg/ha","1443.7","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","1985","1985","kg/ha","1722.2","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","1986","1986","kg/ha","2034.3","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","1987","1987","kg/ha","1716.9","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","1988","1988","kg/ha","1903","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","1989","1989","kg/ha","1852.6","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","1990","1990","kg/ha","1659.1","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","1991","1991","kg/ha","1832.1","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","1992","1992","kg/ha","1727.1","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","1993","1993","kg/ha","1554.9","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","1994","1994","kg/ha","2040","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","1995","1995","kg/ha","1875.9","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","1996","1996","kg/ha","1450.6","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","1997","1997","kg/ha","1471.3","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","1998","1998","kg/ha","1669.7","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","1999","1999","kg/ha","1481.7","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2000","2000","kg/ha","1440","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2001","2001","kg/ha","1701.2","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2002","2002","kg/ha","1512.6","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2003","2003","kg/ha","1622.4","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2004","2004","kg/ha","1929.3","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2005","2005","kg/ha","1640.5","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2006","2006","kg/ha","1719.7","A","Official figure",""
"QCL","Crops and livestock products","404","Kenya","5412","Yield","0112","Maize (corn)","2007","2007","kg/ha","1813.2","A","Official figure",""
