PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETTOP,1984,-0.5,34.375,0.52,0.34,0.28,0.59,0.74,0.63,0.62,0.66,0.62,0.59,0.61,0.65,0.57
GWETTOP,1984,-0.5,35.0,0.52,0.36,0.28,0.48,0.55,0.51,0.54,0.6,0.58,0.59,0.6,0.58,0.52
GWETTOP,1984,-0.5,35.625,0.48,0.42,0.38,0.43,0.43,0.41,0.45,0.48,0.47,0.52,0.53,0.5,0.46
GWETTOP,1984,-0.5,36.25,0.41,0.35,0.35,0.39,0.41,0.38,0.42,0.44,0.42,0.47,0.52,0.49,0.42
GWETTOP,1984,-0.5,36.875,0.42,0.35,0.36,0.43,0.45,0.39,0.41,0.41,0.39,0.51,0.63,0.62,0.45
GWETTOP,1984,-0.5,37.5,0.48,0.39,0.38,0.46,0.48,0.43,0.43,0.44,0.42,0.53,0.68,0.68,0.48
GWETTOP,1984,-0.5,38.125,0.42,0.29,0.29,0.43,0.35,0.27,0.28,0.25,0.28,0.47,0.64,0.61,0.38
GWETTOP,1984,-0.5,38.75,0.34,0.22,0.24,0.39,0.32,0.24,0.26,0.23,0.25,0.44,0.59,0.52,0.34
GWETTOP,1984,-0.5,39.375,0.24,0.16,0.18,0.36,0.35,0.3,0.27,0.26,0.21,0.37,0.47,0.39,0.3
GWETTOP,1984,-0.5,40.0,0.24,0.17,0.18,0.38,0.38,0.34,0.3,0.28,0.22,0.39,0.5,0.43,0.32
GWETTOP,1984,-0.5,40.625,0.19,0.16,0.16,0.33,0.38,0.44,0.37,0.31,0.22,0.33,0.53,0.41,0.32
GWETTOP,1984,-0.5,41.25,0.19,0.16,0.16,0.32,0.38,0.45,0.36,0.32,0.23,0.32,0.55,0.41,0.32
GWETTOP,1984,-0.5,41.875,0.18,0.15,0.14,0.29,0.35,0.42,0.35,0.31,0.23,0.29,0.51,0.42,0.3
GWETTOP,1984,-1.0,34.375,0.51,0.46,0.3,0.5,0.53,0.47,0.5,0.54,0.51,0.5,0.52,0.55,0.49
GWETTOP,1984,-1.0,35.0,0.56,0.5,0.38,0.52,0.55,0.5,0.53,0.58,0.55,0.58,0.59,0.59,0.54
GWETTOP,1984,-1.0,35.625,0.52,0.45,0.35,0.47,0.48,0.43,0.43,0.48,0.47,0.51,0.55,0.54,0.47
GWETTOP,1984,-1.0,36.25,0.44,0.35,0.33,0.38,0.39,0.37,0.38,0.39,0.38,0.44,0.52,0.49,0.41
GWETTOP,1984,-1.0,36.875,0.52,0.41,0.33,0.45,0.48,0.4,0.35,0.35,0.31,0.49,0.68,0.69,0.46
GWETTOP,1984,-1.0,37.5,0.52,0.43,0.35,0.46,0.48,0.41,0.4,0.39,0.33,0.51,0.68,0.67,0.47
GWETTOP,1984,-1.0,38.125,0.42,0.29,0.3,0.45,0.37,0.28,0.29,0.27,0.24,0.5,0.66,0.61,0.39
GWETTOP,1984,-1.0,38.75,0.35,0.22,0.25,0.42,0.33,0.25,0.27,0.26,0.23,0.49,0.63,0.56,0.36
GWETTOP,1984,-1.0,39.375,0.25,0.16,0.19,0.42,0.38,0.35,0.31,0.29,0.22,0.46,0.56,0.45,0.34
GWETTOP,1984,-1.0,40.0,0.29,0.2,0.22,0.47,0.44,0.39,0.34,0.32,0.25,0.49,0.62,0.53,0.38
GWETTOP,1984,-1.0,40.625,0.21,0.18,0.18,0.35,0.4,0.48,0.39,0.33,0.24,0.36,0.56,0.45,0.34
GWETTOP,1984,-1.0,41.25,0.19,0.15,0.15,0.32,0.4,0.48,0.4,0.34,0.25,0.33,0.55,0.47,0.34
GWETTOP,1984,-1.0,41.875,0.19,0.17,0.16,0.26,0.31,0.38,0.33,0.29,0.23,0.28,0.43,0.38,0.28
GWETTOP,1984,-1.5,34.375,0.58,0.49,0.29,0.55,0.61,0.35,0.45,0.58,0.46,0.49,0.53,0.63,0.5
GWETTOP,1984,-1.5,35.0,0.58,0.49,0.32,0.53,0.57,0.4,0.42,0.5,0.41,0.55,0.59,0.61,0.5
GWETTOP,1984,-1.5,35.625,0.54,0.45,0.33,0.47,0.5,0.44,0.35,0.38,0.32,0.49,0.57,0.57,0.45
GWETTOP,1984,-1.5,36.25,0.44,0.31,0.22,0.36,0.39,0.31,0.28,0.29,0.24,0.39,0.46,0.44,0.34
GWETTOP,1984,-1.5,36.875,0.64,0.39,0.33,0.49,0.58,0.36,0.34,0.34,0.31,0.56,0.71,0.68,0.48
GWETTOP,1984,-1.5,37.5,0.51,0.36,0.32,0.43,0.46,0.35,0.32,0.33,0.27,0.48,0.66,0.66,0.43
GWETTOP,1984,-1.5,38.125,0.44,0.36,0.34,0.41,0.39,0.34,0.34,0.32,0.25,0.47,0.61,0.6,0.41
GWETTOP,1984,-1.5,38.75,0.37,0.24,0.27,0.44,0.37,0.29,0.3,0.27,0.23,0.5,0.6,0.55,0.37
GWETTOP,1984,-1.5,39.375,0.29,0.19,0.22,0.45,0.4,0.35,0.32,0.3,0.23,0.49,0.58,0.5,0.36
GWETTOP,1984,-1.5,40.0,0.26,0.2,0.22,0.47,0.48,0.48,0.39,0.37,0.27,0.52,0.65,0.54,0.4
GWETTOP,1984,-1.5,40.625,0.22,0.18,0.18,0.37,0.43,0.5,0.42,0.36,0.27,0.38,0.57,0.5,0.37
GWETTOP,1984,-1.5,41.25,0.19,0.15,0.15,0.35,0.44,0.49,0.43,0.37,0.28,0.34,0.57,0.51,0.36
GWETTOP,1984,-1.5,41.875,0.52,0.5,0.5,0.57,0.62,0.64,0.62,0.61,0.56,0.57,0.67,0.65,0.59
GWETTOP,1984,-1.7975103014118005e-13,34.375,0.5,0.38,0.36,0.58,0.72,0.66,0.64,0.7,0.66,0.62,0.65,0.61,0.59
GWETTOP,1984,-1.7975103014118005e-13,35.0,0.62,0.47,0.42,0.54,0.65,0.63,0.65,0.72,0.71,0.7,0.69,0.64,0.62
GWETTOP,1984,-1.7975103014118005e-13,35.625,0.63,0.53,0.45,0.47,0.5,0.5,0.53,0.59,0.58,0.6,0.6,0.55,0.54
GWETTOP,1984,-1.7975103014118005e-13,36.25,0.43,0.37,0.32,0.38,0.4,0.41,0.47,0.51,0.5,0.5,0.51,0.48,0.44
