PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
T2M,1984,-0.5,34.375,23.79,25.91,27.08,25.07,23.48,23.26,22.98,23.03,23.37,23.92,23.79,23.66,24.1
T2M,1984,-0.5,35.0,20.73,22.57,24.39,22.68,20.98,20.14,19.52,19.53,20.06,20.29,20.5,20.43,20.98
T2M,1984,-0.5,35.625,15.0,16.01,17.39,17.15,15.84,14.72,14.28,14.66,14.97,14.71,15.02,14.78,15.37
T2M,1984,-0.5,36.25,16.01,16.75,17.33,17.27,15.65,14.71,14.35,14.82,15.29,15.08,15.16,14.87,15.6
T2M,1984,-0.5,36.875,16.5,17.3,17.44,17.43,15.86,15.15,14.8,15.25,16.02,15.57,15.26,14.73,15.93
T2M,1984,-0.5,37.5,20.17,20.92,21.79,21.54,20.07,19.06,18.42,19.0,19.89,19.56,18.97,18.51,19.82
T2M,1984,-0.5,38.125,24.4,25.18,26.54,25.71,24.85,23.75,22.7,23.22,24.13,23.53,22.7,22.87,24.13
T2M,1984,-0.5,38.75,27.01,27.5,28.9,27.7,26.45,25.15,24.08,24.55,25.59,25.38,24.71,25.35,26.03
T2M,1984,-0.5,39.375,28.98,29.02,30.18,28.95,27.06,25.64,24.82,25.22,26.48,26.76,26.55,27.72,27.28
T2M,1984,-0.5,40.0,29.54,29.54,30.44,29.49,27.49,25.92,25.17,25.57,26.95,27.39,27.08,28.22,27.73
T2M,1984,-0.5,40.625,29.74,29.62,30.17,30.01,27.93,25.74,25.31,25.84,27.29,27.93,26.89,28.4,27.9
T2M,1984,-0.5,41.25,29.62,29.52,29.86,30.0,28.15,25.96,25.58,25.91,27.16,27.95,27.03,28.43,27.93
T2M,1984,-0.5,41.875,28.83,28.65,29.03,29.72,28.2,26.26,25.66,25.62,26.62,27.65,27.48,28.03,27.64
T2M,1984,-1.0,34.375,21.91,23.7,25.95,23.85,22.71,22.48,21.9,21.97,22.39,22.81,22.7,22.2,22.88
T2M,1984,-1.0,35.0,19.58,21.17,22.75,21.02,19.38,18.5,18.06,18.27,19.14,19.01,19.31,19.45,19.63
T2M,1984,-1.0,35.625,18.95,20.38,20.67,19.58,17.79,16.7,16.32,16.7,17.85,17.47,17.53,17.91,18.14
T2M,1984,-1.0,36.25,17.56,18.79,18.75,18.65,16.78,15.77,15.24,15.79,16.92,16.62,16.38,16.36,16.96
T2M,1984,-1.0,36.875,17.99,19.01,19.87,19.78,18.08,17.44,17.09,17.75,18.9,17.98,17.17,16.48,18.12
T2M,1984,-1.0,37.5,21.29,22.04,23.35,22.97,21.33,20.3,19.56,20.18,21.49,21.08,20.41,19.94,21.16
T2M,1984,-1.0,38.125,23.72,24.48,25.4,24.54,23.53,22.31,21.24,21.7,22.91,22.42,22.06,22.24,23.04
T2M,1984,-1.0,38.75,27.2,27.79,28.87,27.4,26.16,24.9,23.86,24.35,25.51,25.09,24.75,25.4,25.93
T2M,1984,-1.0,39.375,29.28,29.33,30.27,28.7,26.93,25.51,24.72,25.15,26.38,26.36,26.43,27.66,27.22
T2M,1984,-1.0,40.0,29.8,29.89,30.61,29.33,27.41,25.9,25.19,25.58,26.85,27.1,26.87,28.05,27.71
T2M,1984,-1.0,40.625,29.61,29.53,30.0,29.65,27.63,25.52,25.07,25.55,26.9,27.59,26.68,27.97,27.64
T2M,1984,-1.0,41.25,29.08,28.98,29.45,29.46,27.7,25.63,25.18,25.49,26.61,27.45,26.81,27.73,27.46
T2M,1984,-1.0,41.875,27.47,27.3,27.99,28.78,27.57,25.89,25.19,24.93,25.66,26.72,27.09,27.16,26.81
T2M,1984,-1.5,34.375,22.03,24.32,26.27,24.04,22.52,23.12,22.37,22.27,23.31,23.46,23.24,22.32,23.27
T2M,1984,-1.5,35.0,20.6,22.55,23.59,21.83,19.87,19.71,19.55,20.02,21.14,20.52,20.35,20.14,20.81
T2M,1984,-1.5,35.625,18.23,19.65,19.98,19.18,17.28,16.26,16.08,16.84,18.21,17.51,17.51,17.32,17.83
T2M,1984,-1.5,36.25,22.01,23.62,23.9,23.28,21.28,20.57,20.05,20.87,22.12,21.54,21.09,20.99,21.77
T2M,1984,-1.5,36.875,19.06,20.85,21.26,21.04,19.08,18.72,18.25,18.85,19.96,19.17,18.63,18.23,19.42
T2M,1984,-1.5,37.5,20.62,21.68,22.54,22.2,20.38,19.42,18.83,19.33,20.55,20.23,19.75,19.25,20.39
T2M,1984,-1.5,38.125,23.73,24.45,25.45,24.81,23.53,22.26,21.32,21.78,22.98,22.79,22.41,22.16,23.13
T2M,1984,-1.5,38.75,27.22,27.81,28.68,27.3,25.89,24.68,23.67,24.2,25.37,25.0,25.0,25.52,25.85
T2M,1984,-1.5,39.375,29.16,29.4,30.03,28.38,26.62,25.24,24.45,24.94,26.09,25.96,26.06,27.11,26.95
T2M,1984,-1.5,40.0,30.05,30.04,30.58,29.18,27.16,25.5,24.99,25.37,26.55,26.78,26.49,27.77,27.53
T2M,1984,-1.5,40.625,29.57,29.54,30.01,29.44,27.5,25.5,24.97,25.39,26.54,27.4,26.79,27.57,27.51
T2M,1984,-1.5,41.25,28.6,28.49,29.16,29.08,27.47,25.66,25.1,25.26,26.23,27.15,26.66,27.11,27.16
T2M,1984,-1.5,41.875,26.32,26.24,27.15,27.98,27.04,25.68,24.89,24.34,24.82,25.9,26.85,26.59,26.15
T2M,1984,-1.7975103014118005e-13,34.375,22.86,24.32,25.82,24.1,22.68,21.81,21.6,22.03,22.38,22.93,22.96,22.58,23.0
